"REF_DATE","GEO","DGUID","Trade flow detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Prince Edward Island","2016A000211","Interprovincial imports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113670042","3.19.6","98","","","","0"
"2012","Prince Edward Island","2016A000211","Interprovincial imports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113670042","3.19.6","75","","","","0"
"2013","Prince Edward Island","2016A000211","Interprovincial imports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113670042","3.19.6","45","","","","0"
"2014","Prince Edward Island","2016A000211","Interprovincial imports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113670042","3.19.6","97","","","","0"
"2015","Prince Edward Island","2016A000211","Interprovincial imports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113670042","3.19.6","102","","","","0"
"2016","Prince Edward Island","2016A000211","Interprovincial imports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113670042","3.19.6","42","","","","0"
"2017","Prince Edward Island","2016A000211","Interprovincial imports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113670042","3.19.6","21","","","","0"
"2010","Prince Edward Island","2016A000211","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670043","3.19.7","4391","","","","0"
"2011","Prince Edward Island","2016A000211","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670043","3.19.7","1602","","","","0"
"2012","Prince Edward Island","2016A000211","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670043","3.19.7","408","","","","0"
"2013","Prince Edward Island","2016A000211","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670043","3.19.7","247","","","","0"
"2014","Prince Edward Island","2016A000211","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670043","3.19.7","864","","","","0"
"2015","Prince Edward Island","2016A000211","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670043","3.19.7","2294","","","","0"
"2016","Prince Edward Island","2016A000211","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670043","3.19.7","1987","","","","0"
"2017","Prince Edward Island","2016A000211","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670043","3.19.7","1637","","","","0"
"2010","Prince Edward Island","2016A000211","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670044","3.19.8","323","","","","0"
"2011","Prince Edward Island","2016A000211","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670044","3.19.8","373","","","","0"
"2012","Prince Edward Island","2016A000211","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670044","3.19.8","506","","","","0"
"2013","Prince Edward Island","2016A000211","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670044","3.19.8","1227","","","","0"
"2014","Prince Edward Island","2016A000211","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670044","3.19.8","1553","","","","0"
"2015","Prince Edward Island","2016A000211","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670044","3.19.8","2498","","","","0"
"2016","Prince Edward Island","2016A000211","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670044","3.19.8","2073","","","","0"
"2017","Prince Edward Island","2016A000211","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670044","3.19.8","4506","","","","0"
"2010","Prince Edward Island","2016A000211","International exports","Canola (including rapeseed) [MPG111A01]","Dollars","81","thousands","3","v113670399","3.20.4","644","","","","0"
"2011","Prince Edward Island","2016A000211","International exports","Canola (including rapeseed) [MPG111A01]","Dollars","81","thousands","3","v113670399","3.20.4","791","","","","0"
"2012","Prince Edward Island","2016A000211","International exports","Canola (including rapeseed) [MPG111A01]","Dollars","81","thousands","3","v113670399","3.20.4","61","","","","0"
"2013","Prince Edward Island","2016A000211","International exports","Canola (including rapeseed) [MPG111A01]","Dollars","81","thousands","3","v113670399","3.20.4","622","","","","0"
"2014","Prince Edward Island","2016A000211","International exports","Canola (including rapeseed) [MPG111A01]","Dollars","81","thousands","3","v113670399","3.20.4","161","","","","0"
"2015","Prince Edward Island","2016A000211","International exports","Canola (including rapeseed) [MPG111A01]","Dollars","81","thousands","3","v113670399","3.20.4","0","","","","0"
"2016","Prince Edward Island","2016A000211","International exports","Canola (including rapeseed) [MPG111A01]","Dollars","81","thousands","3","v113670399","3.20.4","0","","","","0"
"2017","Prince Edward Island","2016A000211","International exports","Canola (including rapeseed) [MPG111A01]","Dollars","81","thousands","3","v113670399","3.20.4","0","","","","0"
"2010","Prince Edward Island","2016A000211","International exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113670400","3.20.5","1239","","","","0"
"2011","Prince Edward Island","2016A000211","International exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113670400","3.20.5","1185","","","","0"
"2012","Prince Edward Island","2016A000211","International exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113670400","3.20.5","1717","","","","0"
"2013","Prince Edward Island","2016A000211","International exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113670400","3.20.5","1479","","","","0"
"2014","Prince Edward Island","2016A000211","International exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113670400","3.20.5","1696","","","","0"
"2015","Prince Edward Island","2016A000211","International exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113670400","3.20.5","1622","","","","0"
"2016","Prince Edward Island","2016A000211","International exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113670400","3.20.5","1930","","","","0"
"2017","Prince Edward Island","2016A000211","International exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113670400","3.20.5","1936","","","","0"
"2010","Prince Edward Island","2016A000211","International exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670401","3.20.7","10","","","","0"
"2011","Prince Edward Island","2016A000211","International exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670401","3.20.7","26","","","","0"
"2012","Prince Edward Island","2016A000211","International exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670401","3.20.7","60","","","","0"
