Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2011-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,660462,1505,Weight in metric tonne
2013-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,15375645,33780,Weight in metric tonne
2018-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,1410182,2490,Weight in metric tonne
2020-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,1547383,2166,Weight in metric tonne
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Ontario,The world,N/A,1012087,1281,Weight in metric tonne
2019-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Manitoba,The world,N/A,43602569,64218,Weight in metric tonne
2017-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,1362646,2497,Weight in metric tonne
2019-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,2663454,4963,Weight in metric tonne
2020-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,2891910,4923,Weight in metric tonne
2013-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Saskatchewan,The world,N/A,289765,379,Weight in metric tonne
2014-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Saskatchewan,The world,N/A,1719807,1837,Weight in metric tonne
2015-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Saskatchewan,The world,N/A,3186957,3385,Weight in metric tonne
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Saskatchewan,The world,N/A,4566650,4633,Weight in metric tonne
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Alberta,The world,N/A,12689507,28317,Weight in metric tonne
2012-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,2619733,5281,Weight in metric tonne
2014-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Newfoundland and Labrador,The world,N/A,107621,275,Weight in metric tonne
2013-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,57048825,127026,Weight in metric tonne
2014-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,8109890,14431,Weight in metric tonne
2015-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,63157793,128951,Weight in metric tonne
2017-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,4514538,6776,Weight in metric tonne
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,74278962,85508,Weight in metric tonne
2012-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,52878,105,Weight in metric tonne
2015-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,82852,171,Weight in metric tonne
2011-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,51621156,128203,Weight in metric tonne
2016-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,49406900,91738,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,54211640,106277,Weight in metric tonne
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,34847739,46120,Weight in metric tonne
2012-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,906076,1774,Weight in metric tonne
